model_id,model_name,transformation,market_pain_score,artifact_clarity_score,proofability_score,strategic_fit_score,composability_score,weighted_total,packaging_class,venture_track,status,notes
P2,Stakeholder Mapping,Perspective,8,8,7,8,8,7.80,standalone,governance_stack,active,Clear deliverable (stakeholder map artifact). Buyers already pay consultants for this. Direct case study material.
P1,First Principles Framing,Perspective,7,7,6,7,8,6.90,standalone,governance_stack,active,Strong opener for consulting engagements. Pairs with DE1 and IN2.
P15,Assumption Surfacing,Perspective,7,7,7,6,7,6.80,service_line,governance_stack,active,High artifact clarity (assumption register). Pairs well with IN2 premortem.
P5,Empathy Mapping,Perspective,6,7,6,6,7,6.30,compositional,cross_cutting,backlog,Well-known UX tool. Less differentiated for HUMMBL positioning.
P8,Narrative Framing,Perspective,6,6,5,7,7,6.10,compositional,cross_cutting,active,Useful for case study writing itself. Meta-application.
P6,Point-of-View Anchoring,Perspective,5,6,5,6,7,5.50,compositional,governance_stack,backlog,Compositional glue. Useful in workshops but not standalone.
P4,Lens Shifting,Perspective,5,5,5,6,8,5.50,compositional,cross_cutting,backlog,High composability but hard to sell standalone.
P11,Role Perspective-Taking,Perspective,5,6,5,5,7,5.30,compositional,cross_cutting,backlog,Workshop exercise. Combine with P2 for stakeholder workshops.
P10,Context Windowing,Perspective,5,5,5,6,6,5.20,infrastructure_primitive,cross_cutting,backlog,Useful for AI context management framing. Niche.
P19,Sensemaking Canvases,Perspective,5,6,5,5,6,5.20,standalone,cross_cutting,backlog,Canvas tools exist (Wardley etc). HUMMBL version could differentiate.
P7,Perspective Switching,Perspective,5,5,5,5,7,5.10,compositional,cross_cutting,backlog,Similar to P4/P11. Overlapping territory.
P17,Frame Control & Reframing,Perspective,5,5,4,5,6,4.90,compositional,cross_cutting,backlog,Negotiation/facilitation skill. Hard to package.
P14,Reference Class Framing,Perspective,5,5,5,4,5,4.80,compositional,cross_cutting,backlog,Estimation technique. Useful but not differentiating.
P3,Identity Stack,Perspective,4,5,4,5,6,4.50,compositional,cross_cutting,backlog,Abstract concept. Hard to productize directly.
P12,Temporal Framing,Perspective,4,5,4,5,6,4.50,compositional,cross_cutting,backlog,Useful in scenario planning compositions.
P18,Boundary Object Selection,Perspective,4,5,4,4,6,4.30,infrastructure_primitive,cross_cutting,backlog,Useful in multi-team alignment. Niche but real.
P9,Cultural Lens Shifting,Perspective,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Niche application. Low strategic fit for Phase 0.
P13,Spatial Framing,Perspective,3,4,3,3,5,3.30,infrastructure_primitive,tbd,backlog,Abstract. Low market pain.
P20,Worldview Articulation,Perspective,3,4,3,3,5,3.30,compositional,tbd,backlog,Too abstract for Phase 0 productization.
P16,Identity-Context Reciprocity,Perspective,3,3,3,3,5,3.10,infrastructure_primitive,tbd,backlog,Academic concept. Not productizable in Phase 0.
P_SUMMARY,Perspective Summary (20 models),Perspective,4.95,5.35,4.75,5.15,6.30,5.02,standalone:3 service_line:1 compositional:12 infrastructure_primitive:4,,,Perspective models are mostly compositional. P2 and P1 are the standouts.
IN2,Premortem Analysis,Inversion,8,8,8,8,7,7.90,standalone,governance_stack,active,Killer app for consulting. Clear deliverable. Measurable risk reduction. Top 3 model.
IN10,Red Teaming,Inversion,8,7,7,8,7,7.50,standalone,governance_stack,active,High market demand in AI safety. Direct HUMMBL positioning.
IN12,Failure First Design,Inversion,7,7,7,7,7,7.00,service_line,governance_stack,active,Design reviews with failure-first lens. Pairs with DE13 FMEA.
IN18,Kill-Criteria & Stop Rules,Inversion,7,7,7,7,6,6.90,service_line,governance_stack,active,Governance buyers need decision frameworks for when to stop/kill projects.
IN19,Harm Minimization (Via Negativa),Inversion,7,6,6,7,6,6.50,service_line,governance_stack,active,AI safety positioning. What NOT to build.
IN20,Antigoals & Anti-Patterns Catalog,Inversion,6,7,6,6,7,6.30,service_line,governance_stack,active,Deliverable: documented anti-pattern catalog. Reusable across clients.
IN7,Boundary Testing,Inversion,6,6,6,5,6,5.70,compositional,governance_stack,backlog,QA/testing application. Pairs with IN10.
IN1,Subtractive Thinking,Inversion,5,5,5,5,7,5.10,compositional,cross_cutting,backlog,Good workshop exercise. Hard to sell standalone.
IN3,Problem Reversal,Inversion,5,5,5,5,7,5.10,compositional,cross_cutting,backlog,Workshop technique. Compositional value.
IN14,Second-Order Effects (Inverted),Inversion,5,5,5,5,6,5.10,compositional,governance_stack,backlog,Useful in policy review. Pairs with SY5 archetypes.
IN11,Devil's Advocate Protocol,Inversion,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Known technique. Pairs with IN10 red teaming.
IN9,Backward Induction,Inversion,5,5,5,5,5,5.00,compositional,cross_cutting,backlog,Game theory tool. Useful in strategy workshops.
IN13,Opportunity Cost Focus,Inversion,5,5,5,5,5,5.00,compositional,cross_cutting,backlog,Finance teams already do this. Low differentiation.
IN4,Contra-Logic,Inversion,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Abstract reasoning pattern. Hard to package.
IN5,Negative Space Framing,Inversion,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Creative technique. Low market pain.
IN15,Constraint Reversal,Inversion,4,4,4,4,6,4.10,compositional,cross_cutting,backlog,Innovation technique. Workshop application.
IN8,Contrapositive Reasoning,Inversion,4,4,4,4,5,4.00,infrastructure_primitive,tbd,backlog,Logic primitive. Not directly saleable.
IN17,Counterfactual Negation,Inversion,4,4,4,4,5,4.00,compositional,cross_cutting,backlog,Scenario analysis tool. Pairs with DE18.
IN16,Inverse Optimization,Inversion,4,4,4,3,5,3.80,infrastructure_primitive,tbd,backlog,Technical optimization pattern. Niche.
IN6,Inverse/Proof by Contradiction,Inversion,3,3,3,3,5,3.10,infrastructure_primitive,tbd,backlog,Pure logic. Not productizable standalone.
IN_SUMMARY,Inversion Summary (20 models),Inversion,5.20,5.15,5.10,5.15,5.95,5.17,standalone:2 service_line:4 compositional:10 infrastructure_primitive:4,,,Inversion is the strongest transformation for productization. IN2 is the #1 model overall.
CO9,Interface Contracts,Composition,7,8,7,8,7,7.40,standalone,governance_stack,active,Direct HUMMBL product: contract-driven governance. Already built into founder_mode.
CO14,Platformization,Composition,7,7,7,8,6,7.10,service_line,founder_mode,active,Platform strategy consulting. Directly applicable to founder_mode positioning.
CO10,Pipeline Orchestration,Composition,7,7,7,7,7,7.00,service_line,founder_mode,active,AI pipeline design. Core founder_mode architecture pattern.
CO12,Modular Interoperability,Composition,6,6,6,6,7,6.10,service_line,governance_stack,backlog,Architecture review deliverable. Pairs with CO9.
CO16,System Integration Testing,Composition,6,7,6,5,6,5.90,service_line,governance_stack,backlog,QA consulting. Established market but competitive.
CO7,Network Effects,Composition,6,5,5,6,6,5.60,compositional,cross_cutting,backlog,Strategy concept. Workshop material.
CO18,Knowledge Graphing,Composition,5,6,5,5,6,5.20,service_line,cross_cutting,backlog,Knowledge management deliverable. Growing market.
CO17,Orchestration vs Choreography,Composition,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Architecture pattern. Educational/workshop content.
CO8,Layered Abstraction,Composition,5,5,5,5,6,5.00,compositional,cross_cutting,backlog,Architecture primitive. Compositional.
CO1,Synergy Principle,Composition,5,5,4,5,7,4.90,compositional,cross_cutting,backlog,Generic concept. Hard to package without specifics.
CO4,Interdisciplinary Synthesis,Composition,5,5,4,5,7,4.90,compositional,cross_cutting,backlog,HUMMBL's actual method. Hard to sell as a named product.
CO19,Multi-Modal Integration,Composition,5,5,4,5,6,4.80,compositional,cross_cutting,backlog,AI architecture pattern. Relevant but hard to package.
CO3,Functional Composition,Composition,4,5,4,4,7,4.30,infrastructure_primitive,cross_cutting,backlog,Programming concept. Hard to sell to business buyers.
CO11,Pattern Composition (Tiling),Composition,4,5,4,4,7,4.30,compositional,cross_cutting,backlog,Design pattern application. Pairs with CO9.
CO2,Chunking,Composition,4,5,4,4,6,4.20,infrastructure_primitive,cross_cutting,backlog,Cognitive technique. Workshop exercise.
CO13,Cross-Domain Analogy,Composition,4,4,3,4,7,4.10,compositional,cross_cutting,backlog,Innovation technique. Workshop value.
CO15,Combinatorial Design,Composition,4,4,4,4,6,4.10,infrastructure_primitive,cross_cutting,backlog,Testing/design technique. Niche.
